,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime,title
945,B001630QZE,"[0, 2]",1,FIRST I READ THE REVIEWS OF BOTH THE M1100 AND THE 925 BY PLANTRONICS. I BELIEVE ALL THOSE 5 STAR REVIEWS ARE FAKE. AND FOR ME AND AMAZON. IF I SEE OVER 5 BAD REVIEWS THEN ITS A BAD  DEVICE COMING FROM AMAZON.. I bought the M1100 first it was full of static during my conversation.  I sent it back the same day i bought it.. Amazon gave me a gift card for a refund. so i ordered the 925. THIS ONE WAS WORST THEN THE M1100. THIS BLUETOOTH HOLD STATIC WITHOUT BEING ON THE PHONE. I JUST GOT IT IN LIKE FIVE MINUTES AGO. I WILL ALSO BE SENDING THIS ONE BACK..... EVERYONE IS GROWN SO YOU ALL ARE GOING TO DO WHAT YOU WANT TO DO. ALL IM SAYING IS DONT BE DUMB AND WASTE A LOT OF TIME..... THE REVIEWS HAVE TO BE FAKE... I ORDERED BOTH THE M1100 AND THE 925 PLANTRONICS.. IF YOU LOVE STATIC IN YOUR EAR THEN THESE TWO ARE FOR YOU....,"08 9, 2012",A2NKWGEXJPHY01,ZULU,DONT BE DUMB LIKE ME,1344470400,Plantronics Discovery 925 Bluetooth Earpiece - Black - Retail Packaging (Discontinued by Manufacturer)
495,B000HBIUNG,"[69, 90]",3,"I purchased the 655 after reading a glowing review on cnet.  I had read a lot of reviews on multiple sites that indicated that a lot of bluetooth headsets didn't provide a clear signal.  Based on the cnet review I assumed the 655 was different.This being my first bluetooth headset, I'm not exactly sure what the standard is.  However, the Plantronics literature for this model clearly states that users will have ""33 feet to roam.""  In my experience, using a Blackberry 8700g, this is just false.  I get a clear signal 8 to 10 feet away from my phone.  After that the static kicks in and and increases dramatically as the distance increases.  Maybe Plantronics is just copying the hyperbole of other manufactuers.  Nonetheless,I'm not sure if I would have purchased this model if I had known that I was limited to 10 feet at most.With that said, I do find that reception is very clear within the 8 foot range.  Also, the volume control is excellent.  I found it easier to hear voices with the 955 than anything I'd experienced with a dozen corded headsets.The accessories are probably the biggest selling point.  The 955 comes with three earpieces and can be recharged via a AAA battery, USB or with a provided electrical adapter.If you're looking for a bluetooth set that provides clear reception beyond 10 feet (like they claim they're supposed to) then I wish you luck.  As of late 2006, based on reviews I've read, I wasn't able to find a single headset that gave that kind of reception.  It seems that bluetooth headsets are not yet ready for prime time.","09 18, 2006",A2NVQZ4Y7Y0J1R,Traveler,"Great accessories.  Works OK with a Blackberry, but distance claims are fiction",1158537600,Plantronics Discovery 655 DSP Ultimate Bluetooth Headset with DSP [Retail Packaging] (Discontinued by Manufacturer)
419,B000DZXIRY,"[0, 0]",5,"I was tasked by my office manager to purchase some headsets to make our office calls easier.  I looked at corded headsets, cordless, and a variety of brands, but this unit kept coming up with high praises.The clarity is great, and it has a variety of volume (macro and micro) for both the mic and earpiece.  It works seamlessly with any phone system and has a multitude of connection options.  The range allows us to go to the end of our warehouse to look at stock while talking with the customer.  Not to mention that if I'm not at my desk and the phone rings, I don't have to rush back.  I can use both my hands to look up quotes, and stock while I'm on the phone without craning my neck.  Their are earpieces and over the head options.  Not to mention the battery life lasts all day as long as you plug it in at night.Great product!","06 19, 2012",A3NITC1DVTMMM2,ARauch,What did I do without it!?,1340064000,Plantronics CS55 Wireless Headset Bundle with Lifter (Discontinued by Manufacturer)
317,B0006DPT5M,"[0, 0]",2,"Set it up, it worked great for a little over 24 hours and the base unit failed to connect to my laptop. Returned and purchased a different item. Didn't want to take the business risk of replacing with the same thing.  Can't afford to be offline for as long as it will take to get this replaced.To be fair, I have used several Plantronics headsets and they were all great... my all time favorite is now 10+ years old and not compatible with Google Voice (though it does work great with Cisco IP phone). I also have a bluetooth Plantronics Voyager headset for my iPhone and it is also very good.","06 13, 2011",A163S6S1WXMGV8,"R. Jones ""R.Jones""",Worked fine until it failed... 3 days after purchase,1307923200,Plantronics CS50-USB Wireless Headset
797,B0012J0O8G,"[82, 84]",1,"This product is a bad joke!  It isn't a charging stand at all!  It is simply a plastic disc that is ""supposed"" to fit and hold the earpiece.  I can't make it function as described and I am a mechanical engineer!  It did not come with any instructions at all.  It arrived in a simple clear plastic bad with nothing else.  I rate this at as a total waste of my money!","05 14, 2010",A3G8L02NTOA3I2,R. P. Majka,Charging Station???????????,1273795200,Plantronics 74404-01 Headset Charging Cradle for Voyager 510 Bluetooth Headset
1424,B001JL5WA2,"[14, 16]",4,"I had this Parrot professionaly installed on my Pioneer AVH-P4100DVD, it works great for making and receiving calls, windows down or up, people hear me great on the other side, noone has complained about hearing noises on the background.It pulls not only my contact list from my iPhone but also the battery charge level on the little screen.  Voice commands work amazingly good.The only complaint I have is that if you turn on the unit (when you turn on your car) with the iPhone already connected to the radio, when the iPhone starts to play music, the Parrot will detect it and WILL swap the music to bluetooth, that means that it will mute the radio, freeze the iPhone music controls on it and transfer both audio and iPhone controls to the Parrot unit.... I hate that.  The only way I get around this is to connect the iPhone to my radio interface AFTER the Parrot has turned on completely and detected and sincronized the iPhone.But, again, the bluetooth connectivity for making and receiving calls, works like a charm.","03 25, 2010",A1VFH0E6ZULUFZ,"Alex V. ""Alex""",Works great but with a flaw I could not fix,1269475200,Parrot MKi9100 Advanced Bluetooth Hands-Free Music Kit
321,B0006FLA80,"[28, 29]",4,"I am not too picky when it comes to a PDA phone, if I can keep my outlook calendar, appointment, and call the contact store on it, I'm happy! But I do wish the Treo 600 can be better!I had the Treo 600 for almost 1 year and upgraded to Treo 650 as soon as PalmOne asked me to that's because Parts of my prayer has been answered: A better screen resolution; touch screen is more sensitive than the 600, I use my finger instead of the stylus now; camera is a lot clearer and the zoom works great; removable battery is really handy to use that fully charged spare one any time; my favorite bluetooth is built-in. And that little keyboard lites up in bright blue and white is very easy to read. Thanks to the faster processor, the program loads a lot faster.However, I am still looking for the built-in WiFi, and the bluetooth does not take voice command; reboot is not as easy as Treo 600. I do not notice the boot up being slow because I rarely have to. However, I did notice that it takes up more internal memory and thus make the available ram less than 10MB the first time I turned it on. (Palm is doing a flash upgrade to fix this, so I heard.) With an SD card, I put a bunch of application on it to get around this until it get fixed. And I was able to have about 18MB available internally.I like this new Treo 650, as to all my handheld gadgets, I bought a fitted case to protect it. If you like me want to keep everything in perfectly nice looking condition, I recommad a case and a screen protector. Remember, this is a hefty investment comparable to a PC, this Treo 650 may even be your home phone, make sure it is well-protected.","12 21, 2004",AWHYWCU687LSJ,"D. Keh ""Electro-wireless Gadget Lover""","Still, a big improvement over the treo 600",1103587200,PCS Phone Palm Treo 650 (Sprint)
772,B00110RN2G,"[1, 1]",1,"I'm not sure how long this worked for...my girlfriend noticed that when she pushed the connection slightly, the bass would suddenly get richer....tested on a Nano and an iPhone 4S. Disappointing but it's a super-cheap cable so....I missed the Amazon claim window by 2 weeks but Eforcity only covers this for 30 days. Where other companies would send out a replacement, no questions asked, this company does not. Buyer beware.NOTE: the connector did fit into the iPhone even with the case on, which was why I purchased it to begin with.","05 25, 2012",A1YP5WLIHGG136,"Techthusiast ""n00b""",Bad connection; bad service,1337904000,PCMICROSTORE brand Apple iPhone Black 3.5mm Earphone Headphone 3-Inch Extension Adapter
632,B000NLSGA2,"[0, 0]",4,"I got the case the same day I went to purchase the S5. Case is easy to take off and put on after the 1st time of disassembly. As has been mentioned before the hole for the home button is off by a slight bit. It isn't enough to detract from usage, but Otterbox should fix this and offer panel swapouts to those users who request them. As I work in retail, I know many of these are already in stores. Most people probably won't care, but it may contribute to poor fingerprint sensor operation. Other than this, I expect a long time of protection for my S5.","05 4, 2014",ADMFMAVBS3IU8,Toto,Almost perfect,1399161600,Otterbox [Defender Series] Samsung Galaxy S5 Case - Frustration-Free Packaging Protective Case for Galaxy S5  - Neon Rose (Whisper White/Blaze Pink)
1368,B001IATYMQ,"[0, 0]",2,"Bought this case and hoped it would be the harder version that is a little slicker and would not pull my hair but it does!  Works okay to protect the phone and for men or short haired women this would be fine, but if you have long hair, it will sure pull it.  Also will not go easily into my back pocket. Going to look for another case. Bummed......","03 29, 2011",AKE26F39RTQ6G,"T. Welch ""Shopz""",Too rubbery and pulls your hair out!!!!  OUCH!!,1301356800,OtterBox Impact Case for iPhone 3G/3GS - White
208,B0000DYUZO,"[1, 1]",5,"I have one of these filled with charging cables (both dock and lightning) for iPhones and iPads, car chargers, wall chargers and everything needed to power our mobile devices while traveling... conveniently placed and easy to grab if we're going anywhere, knowing all the while that we don't have to worry about forgetting anything or cannibalizing our cables from around the house. Keeps everything safe, secure and dry.","03 18, 2013",A12XU0XOX20S86,quietconundrum,"perfect for ""charge can""",1363564800,OtterBox Dry Box 3000 Series Waterproof Universal Case - Black
446,B000EM2O2G,"[0, 0]",5,"After all the water damage we had after Hurricane Ike, I decided to get something to protect my cell phone if, God forbid, we have more hurricane damage. My Samsung Captivate fits just fine, so I'm happy with it.Other reviwers said it works great, so I'll just have to take their word for it. Actually, I hope I never have to find out how great it works.","04 4, 2011",ATOYDAVYCK23O,ComfyShoeMaven,Fits My Samsung Captivate,1301875200,OtterBox 2000-20 WaterProof Universal Case - Black (Discontinued by Manufacturer)
836,B0014KLFN6,"[279, 286]",5,"Beware that this is lengthy!  I figure that if you consider spending several hundred dollars on a phone, the more information the better. :)The first thing to get straight about this phone is that it is not about form, but function.  It is not the slimmest or sexiest phone out there, nor does it have the most awe-inspiring user interface compared to the likes of the iPhone.  On the other hand, it has every capability that you will find on any phone these days:* A 5MP camera with autofocus, LED flash, and VGA video recording, Carl Zeiss lens, and a 1/2.5"" CCD (same as in most compact digital cameras).  Various shooting modes (macro, night, night portrait, sports, etc...), ISO control, flash control w/red-eye reduction.  Immediately send pictures via bluetooth, email, MMS, etc.* GPS with Nokia Maps application and optional voice navigation.  Various third party applications (e.g. Google Maps for S60) support its built-in GPS as well.* 3.5G (HSDPA) connectivity (see note about models below), This gives clearer voice and much faster data downloads (theoretically up to 3.5 Mbps; in practice I have seen from 900 Kbps to about 2.2 Mbps, depending on location and time of day).* WiFi (802.11g) with WEP, WPA/WPA2, and EAP/802.1x authentication (for corporate environments)* Support for nearly every Bluetooh profile in existence: A2DP for stereo audio, DUN for tethering the phone's internet connection with a laptop (for on-the road use), OBEX to send/receive files and browse the internal filesystem from a computer.* 3.5mm headset jack, infrared port w/send/receive utility, FM tuner.* ""Dual slider"" design: Slide display up to reveal numeric keypad; and down to reveal four multimedia buttons (Play/Pause, stop, rewind, fast forward).  Sliding it down also changes the display orientation from portrait to landscape; sliding it up switches it back.* Symbian S60 smartphone OS: In addition to thousands of available generic Java (J2ME) mobile applications, there are also nearly an equal number of native applications that can access additional functionality/hardware on the phone (for instance, there is one that uses the built-in accelerometer to control your computer's mouse cursor by simply tilting the phone, and another one that uses the built-in GPS to ""geotag"" pictures with your location as you use the camera).* Built-in applictions include QuickOffice to read Microsoft Office files (DOC, PPT, XLS), Adobe Acrobat Lite reader (PDF), RealPlayer (most media files/streams), home screen ""Search"" applet to search the Internet and local content, various organizer apps (clock w/unlimited alarms, phonebook with unlimited entries, calendar w/unlimited meetings, todos, memos, reminders..), calculator, unit converter -- you get the picture.  Notably absent, though, is a Timer/Stopwatch application; however you can easily download a third party one (e.g. from Smartphoneware).* Other S60-specific applications include Nokia's Internet Radio to stream live radio streams, ""RotateMe"" to automatically rotate the screen depending on your phone orientation, ""Fring"" mobile Skype/AIM/MSN/Google Talk/etc.. client, Google Maps with GPS support, Google home screen search applet, Mobile Weather app, ""ExtGPS"" to share the internal GPS information over bluetooth (e.g. to theNokia N800 Internet Tablet), YouTube player, emTube (also for YouTube access), etc.* One of the best mobile web browsers out there.  Based on AppleWebKit (a.k.a. KTML, the web engine used in the likes of Apple Safari and KDE Konqueror), it renders web pages ""as they were meant to be"".  And unlike that other phone that claims to do the same, the N95 also has a built-in Flash Lite player - so web pages that use flash will work as well.  Plus, you are of course free to download and use other browsers, such as the excellent, super-fast and bandwidth-saving Opera Mini (operamini.com).* Mail client with POP-3 and IMAP support (including IMAP-IDLE, a.k.a. ""push mail""; alternatively it can poll at specified intervals).* Mac OS X users: Although the phone does not come with bundled software for Mac OS X, you can download ""Nokia Multimedia Transfer"" (to synchronize photos and music with iPhoto and iTunes) and an iSync plugin (to synchronize the address book, calendar, todo etc) with your Mac - both from Nokia's web site.  Also, setting up your Mac to access the Internet via the phone (providing that you have a data plan, e.g. the $15/month ""MEdia Net Unlimited"" from AT&T;) is super-easy: When you first pair with the phone, the needed WAP/APN information is pulled automatically from your Phone's SIM card.  (Ironically, this works for nearly every phone, except Apple's own iPhone; this one has a very crippled bluetooth stack, and does also not support tethering).  UPDATE: I've learned that such tethering violates AT&T;'s Terms of Service.  Moreover, there are no  plans available for this phone (or most others) from AT&T; that specifically allow tethering.  If you do so anyway, stay under the radar, and don't abuse it - e.g. by using your cellular data plan as your main internet service.MODELS:=======There are 5 subflavors of the N95 released to date:* The original N95 (a.k.a. N95-1, a.k.a. RM-159) targeted mainly the European and Asian markets; while it had quad-band GSM (2G) support for use in nearly every country, including the USA, it had support only for the international W-CDMA (UMTS/HSDPA, a.k.a. 3G/3.5G) frequency (commonly referred to as UMTS-2100).  Nonetheless, this phone was later made available for retail in the USA as well, through Nokia's flagship stores, online site, and 3rd party retailers.  It had manual shutter lens protection (you would slide it open to start the camera), 64MB of runtime/dynamic memory (RAM), and a 900 mAh battery.  Common complaints about this phone was that it would often run out of memory when several applications were open, and that the battery life was too short.* The N95-2 (a.k.a. ""N95 8GB"", a.k.a. RM-320) increased the screen size from 2.6"" to 2.8"" (diagonal), increased RAM from 64MB to 128MB, increased the battery size from 900 mAh to 1200 mAh, removed the slider mechanism for opening the camera lens, replaced the SDHC card slot with 8GB of internal flash, and replaced the silver faceplate with an all-black design.  However, the bands supported were the same: W-CDMA 2100MHz, GSM 850/900/1800/1900 MHz - so although it will work fine with both AT&T; Wireless, T-Mobile USA and Rogers, it does not support 3G/3.5G network speeds in North America.  Nonetheless, as with the N95-1, Nokia has sold this phone in North America as well until just a few weeks ago; so possibly, this is the phone sold here (Unfortunately, Nokia's own sales channels do not normally make this distinction, and Amazon's product description is also somewhat lacking).  UPDATE: As the product description now clearly says, this is the N95-4 (a.k.a. N95 8GB NAM) model.* The N95-3 (a.k.a. ""N95 NAM"", RM-160) is the first model targeted for North America.  Most of the exterior design is similar to the N95-1 (Silver faceplate, 2.6"" screen, SDHC slot), but like the N95-2, it has 128MB of RAM, a 1200 mAh battery, and no manual slider for the camera shutter.  The main reason for its existence is that it swapped the original UMTS-2100 (WCDMA) frequency for UMTS-850 and UMTS-1900, so that it would work with AT&T; Wireless's 3G/3.5G network.  Until just a few days/weeks ago, this would have been the ""best"" choice for US customers.* The N95-4 (a.k.a. ""N95 8GB NAM"", RM-421) is identical to the N95-2, except that like the N95-3, it swaps UMTS-2100 for UMTS-850/1900.  It was released just a couple of weeks ago, though, so if Amazon got their inventory of ""n95 8gb"" devices from Nokia prior to this, it would have been the N95-2 rather than the N95-4.  (The exterior and labeling of both is the same).  Also, the firmware revision numbers are different, so some utilities (like the ""Nokia Multimedia Transfer"" application and iSync plugin for Mac OS X) do not yet recognize this phone. UPDATE: The N95-4 is now fully supported by most applications, including Nokia Multimeda Transfer and iSync plugin.* The N95-5 is for Japan; it is a stripped-down version of the N95-1 (e.g. no WiFi). UPDATE: As someone commented below, it is actually for China.COMPARED WITH OTHER PHONES:==========================N95 vs. iPhone==============This is almost an irrational comparison, given how different these devices are:* The iPhone is almost entirely about ""sex appeal"": Polished, slim, with a large screen for viewing content, multi-touch user interface (we've all seen how to zoom in and out using finger pinches, do inertial scrolling through a list of contacts, etc).  As such, it is very big on ""usability"".  The N95 is not even a touch-screen device.  (Personally I actually prefer ""hard"" keys w/tactile feedback; having used the touch-screen based Motorola A1200 MING in the past.  Touch screens are not very good for, for example, dialing a number without looking at the screen).* The iPhone feature set is, at best, mediocre.  Yes, it has WiFi - so does a lot of other phones.  Yes, it has a ""WYSIWYG"" web browser; again, so do so many others (including the 3-year oldMotorola A1200 MING, another touch-screen phone by the way).  However, it lacks: 3G support, GPS, Infrared, FM Radio, decent camera functionality (no flash, video recording, etc), 3rd party application support (e.g. no Internet Radio, GPS navigation, etc), or even a usable Bluetooth stack (to do silly little things like transfer files or enable internet access for a nearby laptop while on the road).  Even the otherwise crappy Motorola RAZR line (e.g. RAZR v3xx) do most of these things. UPDATE: With the release of the iPhone 3G and the new App Store, Apple has come a long way.  It's worth pointing out though that the iPhone can still not run standard J2ME/MIDP mobile applications, only those released specifically for the iPhone through the App store.  Per the Apple Terms of Service, this means: No 3rd party web browser (e.g. Opera Mini), no voice navigation, not even something along the lines of Nokia Sports Tracker (since it uses the GPS).* The iPhone is only available with a 2-year contract from AT&T; the N95 is only available SIM-free (unlocked).In short: The iPhone is about form, the N95 (and Symbian devices in general) about function.N95 vs.Sony Ericsson K850i===========================These are the only two 5MP camera phones available for the US market.  Neither of them is offered by a carrier (AT&T;, T-Mobile, Cellular One, Rogers...), so in both cases you will pay the full price for the phone.  (The upside, of course, is that you will not need to renew your contract to get it.. :)Also, both phones (in the case of the N95, some flavors of it) support the U.S. 3G bands, in addition to being quad-band GSM phones.  The difference here is that the k850i supports all four GSM bands and all three UMTS bands at the same time, so you don't have to pick a ""US"" vs. ""International"" flavor.  Finally, both phones have built-in FM tuners - though the k850i also supports RDM to display programming information transmitted in the broadcast.Most comparisons of these phones therefore center around the camera functionality (e.g. PhoneArena.com, GSMArena.com, and Mobile-Review.Com all have head-to-head comparison reviews of the two).  In summary: As far as camera phones go, these are as good as you get; they are both comparable to mid-range pocket cameras.  The k850i has an advantage indoors, because it has a real Xenon flash in addition to the LED autofocus assist beam.  However, in general, it has more ""washed out"" color reproduction than the more vivid N95; and it only supports video recording in QVGA (320x240) resolution compared to the N95 VGA (640x480).The main difference between the phones lie in other areas. The N95 is a Symbian smartphone, and so can run a whole slew of native applications specifically written for this platform, while the k850i is limited to running generic Java (j2me) mobile applictions.  Also, the k850i does not have a built-in GPS (but using an external bluetooth GPS receiver together with free GPS navigation software such as AmazeGPS, you can get voice navigation on this phone as well).  The Java version of Google Maps (which is what you would use on the k850i) has a ""My Location"" feature that uses information from cell phone towers to pinpoint ROUGHLY where you are, within a couple of miles; similar to the iPhone.  Various other limits exist in the k850i as well (1000 phonebook entries, 5 alarms, etc..)On the other hand, the k850i does have a few built-in applications that are notably absent from the N95: A flashlight application (uses the LED autofocus beam), mouse/keyboard emulation to control your bluetooth-enabled computer (e.g. for presentation), and a stopwatch/timer app.One last thing to note about the K850i:  Although it uniquely supports both U.S. and International 3G frequencies, its use on the AT&T; wireless network is sub-optimal.  That's because there is an interoperability issue with its built-in media player and the MEdiaNet configuration - so streaming internet videos (e.g. from YouTube) does not work.  This was the single most important reason why I ended up returning my k850i to the local store where I bought it, after having had it for about 2 weeks.N95 vs. the Samsung G810========================The Samsung G810 was announced at the Mobile World Congress in Barcelona in February; it is another Symbian S60 phone with a feature set almost identical to the N95.  It will be sold internationally starting this fall; probably not in the U.S. though -- it is lacking the GSM 850 MHz frequency used here. (In other words, it is only a ""tri-band"" phone).  Maybe they plan on releasing a US version as well - I guess that depends on whether a carrier picks it up or not.Other than that, for better or worse the G810 has a 3x optical zoom. ""Worse"" because that inevitably leads to compromises in the optics (the thickness of the phone is the same, so that must mean that the CCD sensor is smaller - meaning more noise).  On the upside, it does have Xenon flash and a protective lens cap.Early available specs also indicate that it will have 96MB of RAM - midway between the N95-1 and subsequent N95s; however, the RAM will be split up into a 32MB chunk for the DSP (GSM and W-CDMA radios) and 64MB for the Symbian phone OS/functionality.  Thus, this could become an issue.For now, anther Samsung, the G600, although not available for sale in the US, seems to have a better camera (in some reviews outperforming the N95 and k850i), as well as quad-band GSM support.  (It is otherwise a low-end phone though, without e.g. 3G).UPDATE: Other Nokia Phones==========================Since the N95, several other N-series and E-series phones have been released by Nokia with very similar feature sets.  For instance, the N82, which features a full Xenon flash, and thus doubles nicely as a pocket camera also for indoor use (though the only version available does not support North American 3G bands, just like the N95-1 and N95-2).UPDATE Dec 1, 2008: The N95 now has a couple of worthy successors, each of which improve on its feature set in different ways: TheN85and theN96.  Personally, I'll stick to the N95 8GB though (see my N85 review to see why).","04 3, 2008",AU5V90NU1ON6O,Tor Slettnes,The perfect geek phone,1207180800,"Nokia N95-4 8 GB Unlocked Phone with 5 MP Camera, 3G, Wi-Fi, GPS, and Media Player--U.S. Version with Warranty (Black)"
339,B0006HP7NC,"[0, 0]",5,Works.  Good quality battery.  What more can I say about a battery?  It fits.  It charges.  It powers.  It's a battery at a very reasonable price.,"11 13, 2013",ALHC64J88LVWO,Wayfinder,Works as expected,1384300800,Nokia BL-5C Extended Li-Ion Battery (Discontinued by Manufacturer)
1456,B001PUE69U,"[1, 2]",4,"Product itself isn't perfect, but can't blame the seller. The problem is you can push an earphone plug too far into the female receptacle of the 3.5mm adapter that the contacts don't meet. The result is that audio doesn't come thru even though the person on the other side can hear you just fine. I tried it with 3 different ear/headphones & the results were the same. Solution: just pull the plug out a wee bit (about 2mm) & the points will make perfect contact.","02 23, 2010",A1XFMXCDPBVJ5P,Ahikanana,An OK product,1266883200,Nokia AD-61 Audio Adapter
212,B0000SX3BK,"[5, 5]",5,"Other than the high initial cost (I got it before they put in a promotion, duh), i really love this compact and stylish phone.  It's the best Nextel has offered yet, although there's rumor that a camera phone is coming out soon.  If you can wait, wait a bit longer, otherwise for walkie-talkie style cellular, Nextel is the best.  No delays like with Verizon (up to 30 seconds!) or Sprint (10 secs).  Walkie-talkie that actually works where there's coverage.  I'm a happy customer.","01 22, 2004",A5JLAU2ARJ0BO,"Gadgester ""No Time, No Money""",very happy,1074729600,Motorola i730 Phone (Nextel)
341,B0006I2G3U,"[5, 7]",1,"My wife and I each purchased V551s with our migration to Cingular 6 months ago. In that time (during which the phone was never dropped, bumped, etc), I've replaced my phone twice, and hers once. The problems we've had include:- random ""white screen of death""- Bluetooth connectivity problems (isolated to phones)- dropped calls in perfect reception areas- random battery indications- the infamous ""Unable to Charge"" problemAdd to that Motorola's lousy phonebook and UI, and retarded Bluetooth handling (e.g., if any BT device is connected, the same Moto default ring sounds, regardless of sound profile or caller-specific ringtones), and you have an overpriced, overhyped, oversize paperweight.I'm fortunate Cingular offers my company's employees discounts on new phones, so that I can go back to Sony Ericsson. My old T616 gave me 2 years of perfect service, even after having been dropped twice. It's on its 2nd owner now, who has used it for 6 months problem-free.","09 13, 2005",AXMVY1CH5125B,"Dr. Sam Beckett ""Hoping for that last leap home""","Goodbye, Moto",1126569600,Motorola V551 Phone (AT&T)
519,B000JHKU72,"[3, 4]",3,"Pros:* Nice sound* Good feel on the head* Rotating cups are nice for mixing (during practice, not live, see below)* Headset comes with a really nice carrying caseCons:* They are extremely difficult to pair with any device. Every time I use them I have to spend five to ten minutes just trying to get the headphones into pairing mode and to actually pair with the host device. Motorola used the horrible ""one button does it all"" interface for operating power and pairing, even though there are two buttons on the headset.* The other button on the other side of the headset is useless because it's proprietary.  It's supposed to pause/play music but it doesn't work with any device I've ever paired the headphones with.* The little rubber flap that covers the USB and audio input plugs is always falling out and hanging lopsided.* The headphones say on the package and in adverts that you can connect a headphone cable to another device to listen instead of using Bluetooth, but they don't tell you that the cable has to be Motorola's ""special"" headphone cable, which you have to order from Motorola.  You can't just go to the store and buy a iPod headphone cable to use with the headphones like you can with most other devices.*The fabric on the inside of the headband is nice for keeping your head from sweating but it causes carpet burns on the back of your neck if you wear the headphones around your neck.*Not recommended for DJs (trust me, I am one) because you can never be sure how long the battery is going to last, as there's no battery meter. You really don't want your headphones to quit on you in the middle of a live show.* When the batteries get low there's a series of three beeps then an ear-bursting *POP* noise.  I wrote to Motorola to complain and ask if the issue could be fixed, but they responded by sending me another set of the same headphones which had the same problem. The only workaround is to quickly jerk the headphones off of your head when you hear the three beeps to avoid hurting your ears with the loud pop noise.* There's a really bright LED light that fades on and off while the headphones are receiving audio that you can't disable, on each side of the headphones.  It's kind of neat for about the first five minutes then it gets annoying.* The minimum volume is still sometimes too loud.* Default volume at power on is always too loud.","06 5, 2008",A7829CRHD25WU,"Majik ""FTW""",Good Sound Difficult to Operate,1212624000,Motorola S805 Bluetooth D.J. Style Stereo Headset (Discontinued by Manufacturer)
497,B000IVEQYW,"[0, 0]",5,"I had lost the CD for the previous Motorola Phone Tools and was unable to reinstall in  my Boot Camp partition.  So, I bought the ""Motorola Razr V3 Oem Original Usb Data Cable with Motorola Phone Tools 4.0 Software"" kit and threw away the cable (no razr here.)  At 49 cents you can't go wrong!  Now I've got the Moto Phone Tools installed on my new iMac.","05 2, 2008",A23LF95HUEIGUR,"Clyde O. Stephens ""&#34;Old Fart Ex Tex&#34;""",The best 49 cents I ever spent.,1209686400,Motorola Razr V3 Oem Original Usb Data Cable with Motorola Phone Tools 4.0 Software
469,B000G7LWRM,"[0, 5]",1,"Phone Experience:Its light and sleek and does perform very well as basic phone, charge every 2 days not 2 times a day as I use to do with smartphone.This phone's interfaces are so old that looks like I am using those old bulky Nokia phones specially switching from smart-phone. This is slow and very limited capabilities. Krzr seems to have lot better interfaces.Verizon Experience:At least I am not getting that many dropped calls as it was with Cingular. Its much better reception.Some things that I encountered so far are: Verizon charges you for 1 month advance monthly access fee, so your first month with activation will cost $250-300 excluding phone cost. Next, they charged me $15 because I ported my old number, in past I received this service free with T-Mobile and Cingular.Customer service is not friendly at all.Amazon Experience:The sad part of my story starts when I received this phone.I opened the box and it looked like used phone, with dust inside plastic protector and edges coming off and scratches where Mini-SD card goes. I thought its not a big deal so I called Verizon, they came up with resolution after couple calls and hold time that goto store for a free replacement. I went to store, the lady kept trying but nothing happened then a answer that oh may be because you bought phone from Amazon and their customer service should take of this.Ha, who don't know on this earth that Amazon don't care for customer satisfaction at all. There is no one who can help you. After few emails I lost hopes and now stuck with this phone.Now I think I shouldn't have bought it from here, if it was thru Verizon at least I can get new phone.My 2 cents don't buy from here, its worth buying from Verizon directly in long term.","04 6, 2007",AA3L8PS98LVG4,"Aasdasd ""john am""","Never buy this phone, Never buy from Amazon",1175817600,Motorola RAZR V3m Silver Phone (Verizon Wireless)
947,B0016J9U0K,"[1, 1]",2,It appears this phone is being sold as a new phone when it fact I believe it's been refurbished.  Opened box to find a phone that had different colored part in blue.  The back and flip portion of phone was a different blue from rest of phone.  Also phone was just bouncing around loose in box - no internal packing.  Back piece of phone along with battery and charger were also loose in box.  The phone was not the quality as advertised.,"12 30, 2012",A1LFAMJJM87RSG,Gayle Ledyard,Bad deal,1356825600,"Motorola RAZR V3 Unlocked Phone with Camera, and Video Player--U.S. Version with Warranty (Blue)"
953,B0016JDE34,"[0, 0]",5,Was a great phone.  Still use it when the other phones go down.  I like it cause it is small.  I would recommend this to the user who doesn't want a complex phone.,"06 24, 2014",A2KQSQFBHTR0PB,"Joseph L. Riner ""JR""",Razr v3,1403568000,Motorola RAZR V3 Unlocked GSM Phone  with Camera and Video Player U.S. Version with Warranty (Silver)
1591,B001YSI04A,"[0, 0]",4,"Very portable, connects easily, relatively comfortable. Sound could be better but then I have been spoiled by those little earbuds that actually insert into the ear canal - you can't beat the sound on those. I have not had problems with these being sweatproof so far. I only need to recharge them every 6 or 7 uses.","10 26, 2010",A2T9UGB2YHTFMA,"Mark 2 Eyeball ""Mark 2 Eyeball""",good value,1288051200,Motorola MOTOROKR Bluetooth Stereo Headphones
260,B0002F7I94,"[0, 1]",1,This headset was a piece of junk right out of the box. I had nothing but problems with it and threw it away after the first day.,"02 12, 2013",A3PYCXB5DIEOBB,aldematt,Poor,1360627200,Motorola HS810 Bluetooth Headset
